PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24034070","Systemic lupus erythematosus: epidemiology, pathophysiology, manifestations, and management","Fortuna G, Brennan MT.","Dent Clin North Am. 2013 Oct;57(4):631-55. doi: 10.1016/j.cden.2013.06.003.","Fortuna G","Dent Clin North Am","2013","2013/09/17","","","10.1016/j.cden.2013.06.003"
"31677989","Pregnancy and Systemic Lupus Erythematosus","Petri M.","Best Pract Res Clin Obstet Gynaecol. 2020 Apr;64:24-30. doi: 10.1016/j.bpobgyn.2019.09.002. Epub 2019 Oct 8.","Petri M","Best Pract Res Clin Obstet Gynaecol","2020","2019/11/04","","","10.1016/j.bpobgyn.2019.09.002"
"29149925","Gastrointestinal and Hepatic Disease in Systemic Lupus Erythematosus","Brewer BN, Kamen DL.","Rheum Dis Clin North Am. 2018 Feb;44(1):165-175. doi: 10.1016/j.rdc.2017.09.011.","Brewer BN","Rheum Dis Clin North Am","2018","2017/11/19","PMC5796428","NIHMS915584","10.1016/j.rdc.2017.09.011"
"31180030","Management strategies and future directions for systemic lupus erythematosus in adults","Durcan L, O'Dwyer T, Petri M.","Lancet. 2019 Jun 8;393(10188):2332-2343. doi: 10.1016/S0140-6736(19)30237-5. Epub 2019 Jun 6.","Durcan L","Lancet","2019","2019/06/11","","","10.1016/S0140-6736(19)30237-5"
"33569643","Systemic Lupus Erythematosus in Children and Young People","Charras A, Smith E, Hedrich CM.","Curr Rheumatol Rep. 2021 Feb 10;23(3):20. doi: 10.1007/s11926-021-00985-0.","Charras A","Curr Rheumatol Rep","2021","2021/02/11","PMC7875946","","10.1007/s11926-021-00985-0"
"31180031","Novel paradigms in systemic lupus erythematosus","Dörner T, Furie R.","Lancet. 2019 Jun 8;393(10188):2344-2358. doi: 10.1016/S0140-6736(19)30546-X. Epub 2019 Jun 6.","Dörner T","Lancet","2019","2019/06/11","","","10.1016/S0140-6736(19)30546-X"
"25455719","What is new in systemic lupus erythematosus","Rúa-Figueroa Fernández de Larrinoa I.","Reumatol Clin. 2015 Jan-Feb;11(1):27-32. doi: 10.1016/j.reuma.2014.09.004. Epub 2014 Nov 11.","Rúa-Figueroa Fernández de Larrinoa I","Reumatol Clin","2015","2014/12/03","","","10.1016/j.reuma.2014.09.004"
"31678365","Juvenile-onset systemic lupus erythematosus: Update on clinical presentation, pathophysiology and treatment options","Smith EMD, Lythgoe H, Midgley A, Beresford MW, Hedrich CM.","Clin Immunol. 2019 Dec;209:108274. doi: 10.1016/j.clim.2019.108274. Epub 2019 Oct 31.","Smith EMD","Clin Immunol","2019","2019/11/04","","","10.1016/j.clim.2019.108274"
"33034541","Systemic lupus erythematosus (SLE): emerging therapeutic targets","Mathias LM, Stohl W.","Expert Opin Ther Targets. 2020 Dec;24(12):1283-1302. doi: 10.1080/14728222.2020.1832464. Epub 2020 Dec 1.","Mathias LM","Expert Opin Ther Targets","2020","2020/10/09","","","10.1080/14728222.2020.1832464"
"27022764","[Systemic lupus erythematosus]","Aringer M, Schneider M.","Dtsch Med Wochenschr. 2016 Apr;141(8):537-43. doi: 10.1055/s-0041-110604. Epub 2016 Mar 29.","Aringer M","Dtsch Med Wochenschr","2016","2016/03/30","","","10.1055/s-0041-110604"
"27502777","Heart involvement in systemic lupus erythematosus: a systemic review and meta-analysis","Chen J, Tang Y, Zhu M, Xu A.","Clin Rheumatol. 2016 Oct;35(10):2437-48. doi: 10.1007/s10067-016-3373-z. Epub 2016 Aug 9.","Chen J","Clin Rheumatol","2016","2016/08/10","","","10.1007/s10067-016-3373-z"
"30272543","One year in review 2018: systemic lupus erythematosus","Di Battista M, Marcucci E, Elefante E, Tripoli A, Governato G, Zucchi D, Tani C, Alunno A.","Clin Exp Rheumatol. 2018 Sep-Oct;36(5):763-777. Epub 2018 Sep 26.","Di Battista M","Clin Exp Rheumatol","2018","2018/10/02","","",""
"34951924","New developments in systemic lupus erythematosus","Tsang-A-Sjoe MWP, Bultink IEM.","Rheumatology (Oxford). 2021 Dec 24;60(Suppl 6):vi21-vi28. doi: 10.1093/rheumatology/keab498.","Tsang-A-Sjoe MWP","Rheumatology (Oxford)","2021","2021/12/24","PMC8709564","","10.1093/rheumatology/keab498"
"32845454","Lupus Vasculitis","Calle-Botero E, Abril A.","Curr Rheumatol Rep. 2020 Aug 26;22(10):71. doi: 10.1007/s11926-020-00937-0.","Calle-Botero E","Curr Rheumatol Rep","2020","2020/08/27","","","10.1007/s11926-020-00937-0"
"33569681","A Review of Complement Activation in SLE","Weinstein A, Alexander RV, Zack DJ.","Curr Rheumatol Rep. 2021 Feb 10;23(3):16. doi: 10.1007/s11926-021-00984-1.","Weinstein A","Curr Rheumatol Rep","2021","2021/02/11","PMC7875837","","10.1007/s11926-021-00984-1"
"28465078","Joint involvement in systemic lupus erythematosus: From pathogenesis to clinical assessment","Ceccarelli F, Perricone C, Cipriano E, Massaro L, Natalucci F, Capalbo G, Leccese I, Bogdanos D, Spinelli FR, Alessandri C, Valesini G, Conti F.","Semin Arthritis Rheum. 2017 Aug;47(1):53-64. doi: 10.1016/j.semarthrit.2017.03.022. Epub 2017 Apr 4.","Ceccarelli F","Semin Arthritis Rheum","2017","2017/05/04","","","10.1016/j.semarthrit.2017.03.022"
"32668290","Rhupus: a systematic literature review","Antonini L, Le Mauff B, Marcelli C, Aouba A, de Boysson H.","Autoimmun Rev. 2020 Sep;19(9):102612. doi: 10.1016/j.autrev.2020.102612. Epub 2020 Jul 12.","Antonini L","Autoimmun Rev","2020","2020/07/16","","","10.1016/j.autrev.2020.102612"
"29846158","Peripheral nervous system involvement in systemic lupus erythematosus: a review of the evidence","Bortoluzzi A, Silvagni E, Furini F, Piga M, Govoni M.","Clin Exp Rheumatol. 2019 Jan-Feb;37(1):146-155. Epub 2018 May 24.","Bortoluzzi A","Clin Exp Rheumatol","2019","2018/05/31","","",""
"31892200","Anti-Cytokine Autoantibodies in Systemic Lupus Erythematosus","Howe HS, Leung BPL.","Cells. 2019 Dec 27;9(1):72. doi: 10.3390/cells9010072.","Howe HS","Cells","2019","2020/01/02","PMC7016754","","10.3390/cells9010072"
"27228646","The Importance of an Early Diagnosis in Systemic Lupus Erythematosus","Sebastiani GD, Prevete I, Iuliano A, Minisola G.","Isr Med Assoc J. 2016 Mar-Apr;18(3-4):212-5.","Sebastiani GD","Isr Med Assoc J","2016","2016/05/28","","",""
"29724134","Cigarette smoking and the pathogenesis of systemic lupus erythematosus","Speyer CB, Costenbader KH.","Expert Rev Clin Immunol. 2018 Jun;14(6):481-487. doi: 10.1080/1744666X.2018.1473035. Epub 2018 May 11.","Speyer CB","Expert Rev Clin Immunol","2018","2018/05/05","PMC7069669","NIHMS1566029","10.1080/1744666X.2018.1473035"
"32631602","Cancer and Systemic Lupus Erythematosus","Ladouceur A, Tessier-Cloutier B, Clarke AE, Ramsey-Goldman R, Gordon C, Hansen JE, Bernatsky S.","Rheum Dis Clin North Am. 2020 Aug;46(3):533-550. doi: 10.1016/j.rdc.2020.05.005. Epub 2020 Jun 10.","Ladouceur A","Rheum Dis Clin North Am","2020","2020/07/08","","","10.1016/j.rdc.2020.05.005"
"26206675","Epigenetics and Systemic Lupus Erythematosus: Unmet Needs","Meroni PL, Penatti AE.","Clin Rev Allergy Immunol. 2016 Jun;50(3):367-76. doi: 10.1007/s12016-015-8497-4.","Meroni PL","Clin Rev Allergy Immunol","2016","2015/07/25","","","10.1007/s12016-015-8497-4"
"24715155","Infections and systemic lupus erythematosus","Esposito S, Bosis S, Semino M, Rigante D.","Eur J Clin Microbiol Infect Dis. 2014 Sep;33(9):1467-75. doi: 10.1007/s10096-014-2098-7. Epub 2014 Apr 9.","Esposito S","Eur J Clin Microbiol Infect Dis","2014","2014/04/10","","","10.1007/s10096-014-2098-7"
"34479243","Childhood-onset Systemic Lupus Erythematosus: Patients features and their transition into adulthood","Valenzuela P, Ladino M, Vargas N.","Andes Pediatr. 2021 Jun;92(3):375-381. doi: 10.32641/andespediatr.v92i3.1653.","Valenzuela P","Andes Pediatr","2021","2021/09/03","","","10.32641/andespediatr.v92i3.1653"
