PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34534497","An update on COVID-19 and pregnancy","Jamieson DJ, Rasmussen SA.","Am J Obstet Gynecol. 2022 Feb;226(2):177-186. doi: 10.1016/j.ajog.2021.08.054. Epub 2021 Sep 14.","Jamieson DJ","Am J Obstet Gynecol","2022","2021/09/17","PMC8438995","","10.1016/j.ajog.2021.08.054"
"30322585","Short-term and long-term effects of caesarean section on the health of women and children","Sandall J, Tribe RM, Avery L, Mola G, Visser GH, Homer CS, Gibbons D, Kelly NM, Kennedy HP, Kidanto H, Taylor P, Temmerman M.","Lancet. 2018 Oct 13;392(10155):1349-1357. doi: 10.1016/S0140-6736(18)31930-5.","Sandall J","Lancet","2018","2018/10/17","","","10.1016/S0140-6736(18)31930-5"
"33345880","Maternal sepsis","Escobar MF, Echavarría MP, Zambrano MA, Ramos I, Kusanovic JP.","Am J Obstet Gynecol MFM. 2020 Aug;2(3):100149. doi: 10.1016/j.ajogmf.2020.100149. Epub 2020 Jun 29.","Escobar MF","Am J Obstet Gynecol MFM","2020","2020/12/21","","","10.1016/j.ajogmf.2020.100149"
"28346919","The Pregnancy Microbiome","Neuman H, Koren O.","Nestle Nutr Inst Workshop Ser. 2017;88:1-9. doi: 10.1159/000455207. Epub 2017 Mar 27.","Neuman H","Nestle Nutr Inst Workshop Ser","2017","2017/03/28","","","10.1159/000455207"
"26428504","What is the placenta?","Burton GJ, Jauniaux E.","Am J Obstet Gynecol. 2015 Oct;213(4 Suppl):S6.e1, S6-8. doi: 10.1016/j.ajog.2015.07.050.","Burton GJ","Am J Obstet Gynecol","2015","2015/10/03","","","10.1016/j.ajog.2015.07.050"
"30564985","Microbiota and Food Allergy","Shu SA, Yuen AWT, Woo E, Chu KH, Kwan HS, Yang GX, Yang Y, Leung PSC.","Clin Rev Allergy Immunol. 2019 Aug;57(1):83-97. doi: 10.1007/s12016-018-8723-y.","Shu SA","Clin Rev Allergy Immunol","2019","2018/12/20","","","10.1007/s12016-018-8723-y"
"34990445","Receipt of COVID-19 Vaccine During Pregnancy and Preterm or Small-for-Gestational-Age at Birth - Eight Integrated Health Care Organizations, United States, December 15, 2020-July 22, 2021","Lipkind HS, Vazquez-Benitez G, DeSilva M, Vesco KK, Ackerman-Banks C, Zhu J, Boyce TG, Daley MF, Fuller CC, Getahun D, Irving SA, Jackson LA, Williams JTB, Zerbo O, McNeil MM, Olson CK, Weintraub E, Kharbanda EO.","MMWR Morb Mortal Wkly Rep. 2022 Jan 7;71(1):26-30. doi: 10.15585/mmwr.mm7101e1.","Lipkind HS","MMWR Morb Mortal Wkly Rep","2022","2022/01/06","PMC8735559","","10.15585/mmwr.mm7101e1"
"33164601","COVID-19 during Pregnancy and Postpartum","Naidu SAG, Clemens RA, Pressman P, Zaigham M, Kadkhoda K, Davies KJA, Naidu AS.","J Diet Suppl. 2022;19(1):115-142. doi: 10.1080/19390211.2020.1834049. Epub 2020 Nov 8.","Naidu SAG","J Diet Suppl","2022","2020/11/09","","","10.1080/19390211.2020.1834049"
"32612969","Genital Micro-Organisms in Pregnancy","Bagga R, Arora P.","Front Public Health. 2020 Jun 16;8:225. doi: 10.3389/fpubh.2020.00225. eCollection 2020.","Bagga R","Front Public Health","2020","2020/07/03","PMC7308476","","10.3389/fpubh.2020.00225"
"34195157","Molecular Pathogenesis of Intrahepatic Cholestasis of Pregnancy","Xiao J, Li Z, Song Y, Sun Y, Shi H, Chen D, Zhang Y.","Can J Gastroenterol Hepatol. 2021 May 30;2021:6679322. doi: 10.1155/2021/6679322. eCollection 2021.","Xiao J","Can J Gastroenterol Hepatol","2021","2021/07/01","PMC8181114","","10.1155/2021/6679322"
