PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33051219","Update οn the diagnosis and management of systemic lupus erythematosus","Fanouriakis A, Tziolos N, Bertsias G, Boumpas DT.","Ann Rheum Dis. 2021 Jan;80(1):14-25. doi: 10.1136/annrheumdis-2020-218272. Epub 2020 Oct 13.","Fanouriakis A","Ann Rheum Dis","2021","2020/10/14","","","10.1136/annrheumdis-2020-218272"
"31677989","Pregnancy and Systemic Lupus Erythematosus","Petri M.","Best Pract Res Clin Obstet Gynaecol. 2020 Apr;64:24-30. doi: 10.1016/j.bpobgyn.2019.09.002. Epub 2019 Oct 8.","Petri M","Best Pract Res Clin Obstet Gynaecol","2020","2019/11/04","","","10.1016/j.bpobgyn.2019.09.002"
"32220510","Update on Lupus Nephritis: Core Curriculum 2020","Parikh SV, Almaani S, Brodsky S, Rovin BH.","Am J Kidney Dis. 2020 Aug;76(2):265-281. doi: 10.1053/j.ajkd.2019.10.017. Epub 2020 Mar 24.","Parikh SV","Am J Kidney Dis","2020","2020/03/30","","","10.1053/j.ajkd.2019.10.017"
"29224680","Pregnancy in systemic lupus erythematosus and antiphospholipid syndrome","Fischer-Betz R, Specker C.","Best Pract Res Clin Rheumatol. 2017 Jun;31(3):397-414. doi: 10.1016/j.berh.2017.09.011. Epub 2017 Oct 11.","Fischer-Betz R","Best Pract Res Clin Rheumatol","2017","2017/12/12","","","10.1016/j.berh.2017.09.011"
"28390564","Systemic Lupus Erythematosus and Pregnancy","Lateef A, Petri M.","Rheum Dis Clin North Am. 2017 May;43(2):215-226. doi: 10.1016/j.rdc.2016.12.009. Epub 2017 Mar 14.","Lateef A","Rheum Dis Clin North Am","2017","2017/04/10","","","10.1016/j.rdc.2016.12.009"
"31464707","Update on pregnancy complications in systemic lupus erythematosus","Marder W.","Curr Opin Rheumatol. 2019 Nov;31(6):650-658. doi: 10.1097/BOR.0000000000000651.","Marder W","Curr Opin Rheumatol","2019","2019/08/30","","","10.1097/BOR.0000000000000651"
"33470961","Neonatal lupus erythematosus - practical guidelines","Derdulska JM, Rudnicka L, Szykut-Badaczewska A, Mehrholz D, Nowicki RJ, Barańska-Rybak W, Wilkowska A.","J Perinat Med. 2021 Jan 18;49(5):529-538. doi: 10.1515/jpm-2020-0543. Print 2021 Jun 25.","Derdulska JM","J Perinat Med","2021","2021/01/20","","","10.1515/jpm-2020-0543"
"34215373","Management of Pregnancy in Lupus","Moyer A, Chakravarty EF.","Rheum Dis Clin North Am. 2021 Aug;47(3):441-455. doi: 10.1016/j.rdc.2021.04.008. Epub 2021 Jun 16.","Moyer A","Rheum Dis Clin North Am","2021","2021/07/03","","","10.1016/j.rdc.2021.04.008"
"32029091","Sex Differences in Systemic Lupus Erythematosus: Epidemiology, Clinical Considerations, and Disease Pathogenesis","Nusbaum JS, Mirza I, Shum J, Freilich RW, Cohen RE, Pillinger MH, Izmirly PM, Buyon JP.","Mayo Clin Proc. 2020 Feb;95(2):384-394. doi: 10.1016/j.mayocp.2019.09.012.","Nusbaum JS","Mayo Clin Proc","2020","2020/02/08","","","10.1016/j.mayocp.2019.09.012"
"33569681","A Review of Complement Activation in SLE","Weinstein A, Alexander RV, Zack DJ.","Curr Rheumatol Rep. 2021 Feb 10;23(3):16. doi: 10.1007/s11926-021-00984-1.","Weinstein A","Curr Rheumatol Rep","2021","2021/02/11","PMC7875837","","10.1007/s11926-021-00984-1"
