ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1678-77572022000100423-scl","DNMT3B (rs2424913) polymorphism is associated with systemic lupus erythematosus alone and with co-existing periodontitis in a Brazilian population","Dias, Larissa Nadine da Silva, Coêlho, Marina de Castro, Persuhn, Darlene Camati, Ribeiro, Isabella Lima Arrais, Freire, Eutilia Andrade Medeiros, Oliveira, Naila Francis Paulo de, Aquino, Sabrina Garcia de","Journal of Applied Oral Science; 30(); -","Journal of Applied Oral Science","Inglês","2022","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572022000100423&lang=pt" 
"S0872-01692021000400254-prt","From membranoproliferative glomerulonephritis to a final diagnosis: Hypocomplementemic urticarial vasculitis syndrome","Marques, Joana, Pereira, Tiago, Carvalho, Dulce, Góis, Mário, Sousa, Helena, Ribeiro, Francisco, Nolasco, Fernando","Portuguese Journal of Nephrology &amp; Hypertension; 35(4); 254-259","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2021","http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S0872-01692021000400254&lang=pt" 
"S1676-24442021000100704-scl","Pancreatic panniculitis in systemic lupus erythematosus and Crohn’s disease: rare event","Silva, Lucas N. Lessa e, Pereira, Miguel Augusto M., Nunes, Marcella F., Vilar, Enoï G., Pantaleão, Luciana","Jornal Brasileiro de Patologia e Medicina Laboratorial; 57(); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês, Português","2021","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442021000100704&lang=pt" 
"S0121-81232020000600004-col","Neutrophil extracellular traps in autoimmune diseases","Monsalve, Diana M., Acosta-Ampudia, Yeny, Ramírez-Santana, Carolina, Polo, José Fernando, Anaya, Juan-Manuel","Revista Colombiana de Reumatología; 27(); 4-14","Revista Colombiana de Reumatología","Inglês","2020","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232020000600004&lang=pt" 
"S2444-054X2020000700059-mex","Corea gravídica asociada a lupus eritematoso sistémico y síndrome antifosfolípido: reporte de caso","Godínez-Baca, Laura E., Lugo-Zamudio, Gustavo E., Maya-Piña, Lucía V.","Cirugía y cirujanos; 88(); 59-62","Cirugía y cirujanos","Espanhol","2020","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2444-054X2020000700059&lang=pt" 
"S0121-81232017000200123-col","Tratamiento exitoso con inmunoglobulinas intravenosas en un paciente con pseudoobstrucción intestinal asociada a lupus eritematoso sistémico","Echeverry, Alex A., Hormaza, Andrés A., Betancur, Juan F., Cañas, Carlos A., Posso-Osorio, Iván, Tobón, Gabriel J.","Revista Colombiana de Reumatología; 24(2); 123-128","Revista Colombiana de Reumatología","Espanhol","2017","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232017000200123&lang=pt" 
"S0482-50042016000100028-scl","Linfócitos Th17 e linfócitos T CD4+ multifuncionais em pacientes com lúpus eritematoso sistêmico","Araújo, Júlio Antônio Pereira, Mesquita Jr., Danilo, Cruvinel, Wilson de Melo, Salmazi, Karina Inácio, Kallás, Esper Georges, Andrade, Luis Eduardo Coelho","Revista Brasileira de Reumatologia; 56(1); 28-36","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100028&lang=pt" 
"S0121-81232015000400005-col","Perfil de citosinas relacionadas con linfocitos Th17: rol fisiopatológico y potencial uso como biomarcadores de actividad del lupus eritematoso sistémico","Cubides, Héctor Hernán, Mora K, Claudia Marcela, Parra I, Leydi Viviana, Londono P, John","Revista Colombiana de Reumatología; 22(4); 217-224","Revista Colombiana de Reumatología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-81232015000400005&lang=pt" 
"S0482-50042012000600014-scl","Fotossensibilidade amplificada? Relato de porfiria cutânea tarda associada a lúpus eritematoso sistêmico","Fritsch, Scheila, Wojcik, Adma Silva de Lima, Schade, Lilian, Machota Junior, Milton Marcio, Brenner, Fabiane Mulinari, Paiva, Eduardo dos Santos","Revista Brasileira de Reumatologia; 52(6); 968-970","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000600014&lang=pt" 
"S0365-05962010000600016-scl","Calcinose cútis distrófica universal associada a lúpus eritematoso sistêmico: um caso exuberante","Carocha, Ana Paula Gonçalves, Torturella, Daniel Moscon, Barreto, Gimelly Ribeiro, Estrella, Rogerio Ribeiro, Rochael, Mayra Carrijo","Anais Brasileiros de Dermatologia; 85(6); 883-887","Anais Brasileiros de Dermatologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962010000600016&lang=pt" 
