ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN
"mdl-36148712","Non-essential heavy metals and protective effects of selenium against mercury toxicity in endangered Australian sea lion (Neophoca cinerea) pups with hookworm disease.","Taylor, Shannon; Terkildsen, Michael; McQuilty, Robert; Lee, David; Wing-Simpson, Aileen; Gray, Rachael","Environ Int;169: 107521, 2022 Nov. ","Environ Int","MEDLINE","article","en","2022","Arsênio; Poluentes Ambientais; Infecções por Uncinaria; Intoxicação por Mercúrio; Mercúrio; Metais Pesados; Leões-Marinhos; Selênio; Ancylostomatoidea; Animais; Arsênio/toxicidade; Austrália/epidemiologia; Cádmio/toxicidade; Cromo; Feminino; Infecções por Uncinaria/epidemiologia; Chumbo; Mercúrio/toxicidade; Metais Pesados/toxicidade; Gravidez","NL","https://dx.doi.org/10.1016/j.envint.2022.107521","The endangered Australian sea lion, Neophoca cinerea, faces ongoing population decline. Identification of key threats to N. cinerea population recovery, including disease and pollutants, is an objective of the species' recovery plan. Previous studies have identified Uncinaria sanguinis, an intestinal nematode, as a significant cause of disease and mortality in N. cinerea pups. Given the impact of heavy metals on the immune response, investigation of these pollutants is critical. To this end, the concentrations of arsenic (As), total mercury (Hg), cadmium (Cd), chromium (Cr), lead (Pb) and selenium (Se) were determined in blood collected from N. cinerea pups sampled during the 2017/18, 2019 and 2020/21 breeding seasons at Seal Bay Conservation Park, South Australia. Significant differences (p < 0.05) in Hg, As, Cr, and Se concentrations and molar ratio of Se:Hg were seen between breeding seasons. Pup age, maternal parity and inter-individual foraging behaviour were considered factors driving these differences. The concentrations of Hg (357, 198 and 241 µg/L) and As (225, 834 and 608 µg/L) were high in 2017/18, 2019 and 2020/21 respectively with Hg concentrations in the blood of N. cinerea pups above toxicological thresholds reported for marine mammals. The concentration of Se (1332, 647, 763 µg/L) and molar ratio of Se:Hg (9.47, 7.98 and 6.82) were low compared to other pinniped pups, indicating potential vulnerability of pups to the toxic effects of Hg. Significant (p < 0.05) negative associations for Pb and Cd with several red blood cell parameters suggest they could be exacerbating the anaemia caused by hookworm disease. Temporal (age-related) changes in element concentrations were also seen, such that pup age needs to be considered when interpreting bioaccumulation patterns. Further investigation of the role of elevated heavy metal concentrations on N. cinerea pup health, disease and development is recommended, particularly with respect to immunological impacts.",20220923,169,,10.1016/j.envint.2022.107521,1873-6750
"mdl-35883327","Pre-Partum Supplementation with Polyunsaturated Fatty Acids on Colostrum Characteristics and Lamb Immunity and Behavior after a Mild Post-Weaning Aversive Handling Period.","Averós, Xavier; Granado-Tajada, Itsasne; Arranz, Josune; Beltrán de Heredia, Ignacia; González, Laura; Ruiz, Roberto; García-Rodríguez, Aser; Atxaerandio, Raquel","Animals (Basel);12(14)2022 Jul 11. ","","MEDLINE","article","en","2022","","CH","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9311828","We studied the effect of pre-natal supplementation with n-3 &#945;-linolenic acid (ALA) combined with a tannin-rich forage on colostrum composition and immunological quality and whether these changes had advantageous effects on lambs' survival and stress reaction to a post-weaning stressor. Forty-eight Latxa ewes were fed during the last five weeks of pregnancy with two experimental diets: a control diet based on a neutral concentrate and forage (tall fescue hay; CO-FES), and a supplemented diet based on polyunsaturated (PUFA)-rich concentrate and tanniferous forage (sainfoin; ALA-SAIN). After parturition, twenty ewes had their blood and colostrum sampled, and their lambs were monitored until post-weaning. Lambs were afterwards subjected to (i) an aversive handling period (AHP) followed by a behavioral assessment and (ii) inflammatory and lymphocyte proliferation challenge. Feeding ALA-SAIN resulted in changes in colostrum fatty acid composition, specifically higher &#945;-linoleic acid (p &lt; 0.001), conjugate linoleic acid (p = 0.005), vaccenic acid (p = 0.006) and long-chain n-3 PUFA (p = 0.004). Pre-partum nutrition did not affect lamb immunoglobulin (Ig) G apparent efficacy absorption, but circulating IgG tended to be higher (p = 0.054) in ALA-SAIN lambs. ALA-SAIN lambs interacted more frequently with other lambs (p = 0.002), whereas ALA-SAIN females spent more time closer to other lambs (p &lt; 0.001). Plasma cortisol was higher (p = 0.047) and plasma interleukin (IL)-2 lower (p = 0.003) in CO-FES lambs. This research highlights the importance of prenatal nutrition on the immune system stimulation and lambs' behavior as a strategy to improve lambs' health and welfare during early life.",20220727,12,14,10.3390/ani12141780,2076-2615
"mdl-35890044","RNA Viruses, Pregnancy and Vaccination: Emerging Lessons from COVID-19 and Ebola Virus Disease.","Dhanya, Chandrasekharan Rajalekshmi; Shailaja, Aswathy; Mary, Aarcha Shanmugha; Kandiyil, Sumodan Padikkala; Savithri, Ambili; Lathakumari, Vishnu Sasidharan; Veettil, Jayakrishnan Therthala; Vandanamthadathil, Jiji Joseph; Madhavan, Maya","Pathogens;11(7)2022 Jul 15. ","","MEDLINE","article","en","2022","","CH","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9322689","Pathogenic viruses with an RNA genome represent a challenge for global human health since they have the tremendous potential to develop into devastating pandemics/epidemics. The management of the recent COVID-19 pandemic was possible to a certain extent only because of the strong foundations laid by the research on previous viral outbreaks, especially Ebola Virus Disease (EVD). A clear understanding of the mechanisms of the host immune response generated upon viral infections is a prime requisite for the development of new therapeutic strategies. Hence, we present here a comparative study of alterations in immune response upon SARS-CoV-2 and Ebola virus infections that illustrate many common features. Vaccination and pregnancy are two important aspects that need to be studied from an immunological perspective. So, we summarize the outcomes and immune responses in vaccinated and pregnant individuals in the context of COVID-19 and EVD. Considering the significance of immunomodulatory approaches in combating both these diseases, we have also presented the state of the art of such therapeutics and prophylactics. Currently, several vaccines against these viruses have been approved or are under clinical trials in various parts of the world. Therefore, we also recapitulate the latest developments in these which would inspire researchers to look for possibilities of developing vaccines against many other RNA viruses. We hope that the similar aspects in COVID-19 and EVD open up new avenues for the development of pan-viral therapies.",20220727,11,7,10.3390/pathogens11070800,2076-0817
"mdl-35726344","My story of sex, gender, and women's health in a pandemic.","Klein, Sabra L","Immunol Rev;309(1): 86-89, 2022 08. ","Immunol Rev","MEDLINE","article","en","2022","COVID-19; Pandemias; COVID-19/epidemiologia; Feminino; Humanos; Masculino; Gravidez; Saúde da Mulher","GB","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9349564","After more than 20 years of studying sex differences in viral pathogenesis and immunity to vaccines, the COVID-19 pandemic provided me with a unique opportunity to raise awareness about biological sex differences. The scientific community and public, alike, embraced the clinical and epidemiological data and supported inquiries into how males are twice as likely to be hospitalized and die from COVID-19. Immunological changes associated with pregnancy also contribute to worse outcomes from COVID-19. Collectively, we are finding that inflammation is a critical mediator of worse outcomes for males and pregnant females. The pandemic gave me a platform to discuss and address sex differences on a bigger stage, but two decades of studies working with other viruses prepared me for this moment in history.",20220621,309,1,10.1111/imr.13111,1600-065X
"mdl-35682958","New Insights into Adipokines in Gestational Diabetes Mellitus.","Valencia-Ortega, Jorge; González-Reynoso, Rebeca; Ramos-Martínez, Edgar G; Ferreira-Hermosillo, Aldo; Peña-Cano, María I; Morales-Ávila, Enrique; Saucedo, Renata","Int J Mol Sci;23(11)2022 Jun 03. ","Int. j. mol. sci. (Online)","MEDLINE","article","en","2022","Diabetes Gestacional; Adipocinas/metabolismo; Tecido Adiposo/metabolismo; Diabetes Gestacional/metabolismo; Feminino; Humanos; Recém-Nascido; Gordura Intra-Abdominal/metabolismo; Gravidez; Gordura Subcutânea/metabolismo","CH","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9181219","Gestational diabetes mellitus (GDM) is the most common metabolic disorder of pregnancy and has considerable short- and long-term consequences for the health of both the mother and the newborn. Within its pathophysiology, genetic, nutritional, epigenetic, immunological, and hormonal components have been described. Within the last two items, it is known that different hormones and cytokines secreted by adipose tissue, known collectively as adipokines, are involved in the metabolic alterations underlying GDM. Although the maternal circulating profile of adipokines in GDM has been extensively studied, and there are excellent reviews on the subject, it is in recent years that more progress has been made in the study of their expression in visceral adipose tissue (VAT), subcutaneous adipose tissue (SAT), placenta, and their concentrations in the umbilical circulation. Thus, this review compiles and organizes the most recent findings on the maternal and umbilical circulating profile and the levels of expression of adipokines in VAT, SAT, and placenta in GDM.",20220610,23,11,10.3390/ijms23116279,1422-0067
"mdl-35660122","The effect of natural and induced calving of beef heifers on stress-related gene expression and maternal health and immunity.","Beltman, M E; Lewis, J; McCabe, M; Keogh, K; Kenny, D A","Animal;16(6): 100550, 2022 Jun. ","Animal","MEDLINE","article","en","2022","Cálcio; Saúde Materna; Animais; Bovinos; Feminino; Expressão Gênica; Imunoglobulina G/análise; Interleucina-4; Interleucina-8; Parto; Gravidez","GB","https://dx.doi.org/10.1016/j.animal.2022.100550","The peri-partum processes can exert stress on a cow on many levels. There is little evidence about acute stress around the calving event and subsequent potential effects for the cows' immunological status or subsequent reproductive health. To investigate this, 55 crossbred recipient beef heifers carrying purebred Simmental embryos were assigned to one of three groups on day 285 of gestation: (i) control (no parturition induction treatment; nâ¯=â¯19); (ii) induction of parturition with corticosteroid (nâ¯=â¯20) and (iii) induction of parturition with corticosteroid plus prostaglandin (nâ¯=â¯16). Interval from induction of parturition to calving and calving ease was recorded. Reproductive tract examinations were conducted on Day 21 (D21) and Day 42, and a sample was obtained for the determination of uterine cytology on D21. Blood samples were taken from the dams two weeks before parturition, one day after parturition (D1) and two weeks after parturition (D14) for gene expression and cortisol and calcium concentration determination. Calves were weighed at birth and subsequently every week until they were 10â¯weeks of age. A colostrum sample was taken immediately after calving and stored for subsequent Immunoglobin G (IgG) concentration analysis. Data were analysed using ANOVA with posthoc Tukey, Spearman correlation and stepwise backwards linear regression using SAS. Quantitative reverse transcription PCR was performed on the following immune genes: Interleukins IL1a and b, IL2, IL4, IL8, Tumour Necrosis Factor Alpha, Interferon-gamma, Lymphotoxin, Toll-Like Receptor, Nuclear factor of kappa light polypeptide gene enhancer in B cells 1 and 2, glucocorticoid receptor alpha, as well as the neutrophil genes that regulate inflammation: Fas, L-selectin, MMP-9 and BPI. The results show that compared with non-induced contemporaries, induction has no negative effect on dystocia or subsequent calf weight gain but can have a positive effect on colostral IgG concentration. Blood calcium concentrations on both D1 and D14 postcalving are associated with subsequent uterine health. Parturition events were reflected in temporal changes in the expression of the cytokines IFNÎ³, TNF&#945;, IL1b, IL4, IL8 and Haptoglobin in the dams' blood, all of which are associated with the immune competence of the cow during this period. The conclusion is that induction of calving can have a positive effect on colostral IgG concentration. Calcium concentrations postcalving are associated with subsequent reproductive tract health. Events associated with the peri- and postpartum period are all reflected in temporal changes in immune function-related cytokines.",20220606,16,6,10.1016/j.animal.2022.100550,1751-732X
"mdl-35517798","Immunological Changes in Pregnancy and Prospects of Therapeutic Pla-Xosomes in Adverse Pregnancy Outcomes.","Devvanshi, Himadri; Kachhwaha, Rohit; Manhswita, Anima; Bhatnagar, Shinjini; Kshetrapal, Pallavi","Front Pharmacol;13: 895254, 2022. ","Front Pharmacol","MEDLINE","article","en","2022","","CH","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065684","Stringent balance of the immune system is a key regulatory factor in defining successful implantation, fetal development, and timely parturition. Interference in these primary regulatory mechanisms, either at adolescence or prenatal state led to adverse pregnancy outcomes. Fertility restoration with the help of injectable gonadotrophins/progesterone, ovulation-inducing drugs, immunomodulatory drugs (corticosteroids), and reproductive surgeries provides inadequate responses, which manifest its own side effects. The development of a potential diagnostic biomarker and an effectual treatment for adverse pregnancy outcomes is a prerequisite to maternal and child health. Parent cell originated bi-layered-intraluminal nano-vesicles (30-150 nm) also known as exosomes are detected in all types of bodily fluids like blood, saliva, breast milk, urine, etc. Exosomes being the most biological residual structures with the least cytotoxicity are loaded with cargo in the form of RNAs (miRNAs), proteins (cytokines), hormones (estrogen, progesterone, etc.), cDNAs, and metabolites making them chief molecules of cell-cell communication. Their keen involvement in the regulation of biological processes has portrayed them as the power shots of cues to understand the disease's pathophysiology and progression. Recent studies have demonstrated the role of immunexosomes (immunomodulating exosomes) in maintaining unwavering immune homeostasis between the mother and developing fetus for a healthy pregnancy. Moreover, the concentration and size of the exosomes are extensively studied in adverse pregnancies like preeclampsia, gestational diabetes mellitus (GDM), and preterm premature rupture of membrane (pPROMs) as an early diagnostic marker, thus giving in-depth information about their pathophysiology. Exosomes have also been engineered physically as well as genetically to enhance their encapsulation efficiency and specificity in therapy for cancer and adverse pregnancies. Successful bench to bedside discoveries and interventions in cancer has motivated developmental biologists to investigate the role of immunexosomes and their active components. Our review summarizes the pre-clinical studies for the use of these power-shots as therapeutic agents. We envisage that these studies will pave the path for the use of immunexosomes in clinical settings for reproductive problems that arise due to immune perturbance in homeostasis either at adolescence or prenatal state.",20220506,13,,10.3389/fphar.2022.895254,1663-9812
"mdl-35572463","Critical Care Management of Severe COVID-19 in Pregnant Patients.","Ghafoor, Hashsaam; Abdus Samad, Aijaz; Bel Khair, Ali O Mohamed; Ahmed, Osman; Khan, Muhammad Nasir Ayub","Cureus;14(5): e24885, 2022 May. ","Cureus","MEDLINE","article","en","2022","","US","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9097928","Since December 2019, the coronavirus disease (COVID-19) pandemic has had a disastrous impact worldwide. COVID-19 is caused by the SARS-CoV-2 virus and was declared a pandemic by the WHO on March 11, 2020. The virus has been linked to a wide range of respiratory illnesses, ranging from mild symptoms to acute pneumonia and severe respiratory distress syndrome. Pregnant women are more vulnerable to COVID-19 complications owing to the physiological and immunological changes caused by pregnancy. According to the CDC, pregnant patients with COVID-19 are commonly hospitalized and often require admission to ICUs and ventilator support. Therefore, it is especially important for pregnant women to adhere to disease prevention measures to lower the risk of contracting the disease. In addition, the guidelines of several clinical societies and local health authorities should be followed when caring for pregnant women with suspected or confirmed COVID-19. In this review article, we discuss the epidemiology of COVID-19 during delivery, its effect on the physiological and immunological changes during pregnancy, the classification of COVID-19 severity, maternal and fetal risks, antenatal care, respiratory management, treatment/medication safety, timing and mode of delivery, anesthetic considerations, and the outcome of critically ill pregnant patients with COVID-19, as well as their post-delivery care and weaning from mechanical ventilation.",20220516,14,5,10.7759/cureus.24885,2168-8184
"mdl-35610604","Living standard and access to tetanus toxoid immunization among women in Bangladesh.","Islam, Ummay Nayeema; Sen, Kanchan Kumar; Bari, Wasimul","BMC Public Health;22(1): 1037, 2022 05 24. ","BMC Public Health","MEDLINE","article","en","2022","Toxoide Tetânico; Tétano; Bangladesh; Criança; Pré-Escolar; Estudos Transversais; Feminino; Humanos; Imunização; Recém-Nascido; Gravidez; Fatores Socioeconômicos; Tétano/prevenção &amp; controle; Vacinação","GB","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9128149","BACKGROUND: Although Bangladesh has an impressive track record in the reduction of maternal and child mortality, tetanus, a dreadful disease, impedes the way to achieve Sustainable Development Goal (SDG) in this respect. Sufficient doses of tetanus toxoid containing vaccine during pregnancy ensure immunity against tetanus to mothers as well as newborns. Since inequalities persist across vaccination programs globally, in this paper, an attempt has been made to examine whether tetanus toxoid immunization (TTI) status among the women of reproductive age in Bangladesh for their most recent live birth born preceding 2 years of the survey changes with their living standard index (LSI). METHODS: Five domains of deprivation such as energy use, improved sanitation, drinking water, housing and assets ownership were used to compute the LSI using a approach proposed by Alkire and Foster. The adjusted association between LSI and TTI was established by using logistic regression model. For the purpose of statistical analysis, a nationally representative cross-sectional data extracted from Bangladesh Multiple Indicator Cluster Survey (BMICS), 2019 have been used. RESULT: The bivariate analysis revealed that 79.5% (95% CI 78.0-81.0) of women with low and 83.1% (95% CI 81.3-84.9) with moderate living standards had sufficient vaccination coverage for their most recent pregnancies while this percentage was higher for the women who belonged to high living standard (85.2, 95% CI = 84.2-86.2). A strong evidence for greater odds of sufficient immunization with TT among the women maintaining a high standard of living (AOR = 1.24, 95% CI = 1.08-1.42, p < 0.01) was found from regression analysis. CONCLUSION: The results depict existing living standard disparity with respect to TT vaccination coverage among women in Bangladesh. Present research suggests that immunization campaigns need to be conducted especially for the disadvantaged people to improve their health care and immunization service utilization among women within the age bracket of 15 to 49. This study proposed a scientific way to enhance TT vaccination among Bangladeshi women, which could help Bangladesh attain a widespread tetanus protection and thus, meet the SDGs for maternal and child mortality reduction.",20220524,22,1,10.1186/s12889-022-13448-7,1471-2458
"mdl-35612854","Test Performance of Cervical Cytology Among Adults With vs Without Human Papillomavirus Vaccination.","Teoh, Deanna; Nam, Gwiwon; Aase, Danielle A; Russell, Ruby; Melton, Genevieve B; Kulasingam, Shalini; Vogel, Rachel I","JAMA Netw Open;5(5): e2214020, 2022 05 02. ","JAMA Netw Open","MEDLINE","article","en","2022","Alphapapillomavirus; Neoplasia Intraepitelial Cervical; Infecções por Papillomavirus; Vacinas contra Papillomavirus; Neoplasias do Colo do Útero; Adulto; Neoplasia Intraepitelial Cervical/diagnóstico; Neoplasia Intraepitelial Cervical/prevenção &amp; controle; Colposcopia; Detecção Precoce de Câncer; Feminino; Humanos; Imunização; Infecções por Papillomavirus/complicações; Infecções por Papillomavirus/diagnóstico; Infecções por Papillomavirus/prevenção &amp; controle; Vacinas contra Papillomavirus/uso terapêutico; Gravidez; Estudos Retrospectivos; Neoplasias do Colo do Útero/diagnóstico; Neoplasias do Colo do Útero/prevenção &amp; controle; Vacinação; Adulto Jovem","US","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9133945","Importance: Current US cervical cancer screening guidelines do not differ by human papillomavirus (HPV) vaccination status. However, as the positive predictive value (PPV) of a screening test decreases, the risk of a false-positive result increases. Objective: To evaluate whether HPV vaccination is associated with decreased PPV for abnormal cervical cytology. Design, Setting, and Participants: This retrospective cohort study conducted via electronic medical record review included eligible patients aged 21 to 35 years who had at least 1 cervical cytology result within a single health system between January 2015 and December 2018. The health system comprises a partnership between an academic health center and a private not-for-profit health center. Patients with abnormal screening cytology and no diagnostic test results were omitted from analysis. Data were analyzed from December 2019 to November 2021. Exposures: HPV vaccination, defined as receiving at least 1 dose of HPV vaccine. Subgroup analyses were performed for those completing all vaccination doses per Advisory Committee on Immunization Practices guidelines and by age at vaccination initiation, dichotomized as younger than 21 years vs 21 years or older. Main Outcomes and Measures: PPV of abnormal cervical cytology for risk of cervical intraepithelial neoplasia (CIN) 2 or more severe diagnosis. Results: A total of 46â¯988 patients (mean [SD] age, 28.7 [4.5] years; 3058 [6.5%] Asian; 4159 [8.9%] Black or African American; 35â¯446 [75.4%] White) were included; 15â¯494 (33.0%) were at least partially vaccinated, and 4289 (9.1%) had abnormal cytology results during the study period. Among the individuals with abnormal cytology, the PPV for CIN 2 or more severe diagnosis was lower among vaccinated individuals (17.4%; 95% CI, 16.4%-18.4%) than unvaccinated individuals (21.3%; 95% CI, 20.4%-22.3%). Among vaccinated individuals, PPV was significantly lower among those completing vaccination (15.9%; 95% CI, 14.9%-17.0%) than those with incomplete vaccination (22.4%; 95% CI, 20.0%-25.0%), especially among those initiating vaccination when younger than 21 years (11.9%; 95% CI, 10.9%-12.9%) vs those initiating at age 21 years or older (30.7%; 95% CI, 27.3%-34.4%). Conclusions and Relevance: Among a population with relatively low HPV vaccine coverage, the PPV of cervical cytology for CIN 2 or more severe diagnosis was significantly lower among vaccinated individuals. PPV will likely further decrease in the future as a population with higher HPV vaccination coverage ages into screening. Confirmation of these results will call for changes in screening strategies, particularly for completely vaccinated individuals who initiated vaccination when younger than 21 years.",20220525,5,5,10.1001/jamanetworkopen.2022.14020,2574-3805
