ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN
"mdl-35872104","Pregnancy-related complications in systemic lupus erythematosus.","Tan, Yuan; Yang, Shuo; Liu, Qi; Li, Zhongxin; Mu, Rong; Qiao, Jie; Cui, Liyan","J Autoimmun;: 102864, 2022 Jul 21. ","J Autoimmun","MEDLINE","article","en","2022","","GB","https://dx.doi.org/10.1016/j.jaut.2022.102864","Systemic lupus erythematosus (SLE) is a systemic autoimmune inflammatory disease that predominantly affects women of childbearing age and results in various adverse pregnancy outcomes (APOs). Pregnancy was formerly discouraged in patients with SLE because of unstable disease activity during the gestation period, increased thrombosis risk, severe organ damage, and inevitable side effects of immunosuppressive agents. Currently, most patients with SLE have successful pregnancies due to preconception counselling, strict monitoring, and improved therapy with minimised complications for both the mother and foetus. Hydroxychloroquine (HCQ) is extensively used and is beneficial for improving pregnancy outcomes. However, pregnant women with SLE have a high-risk of APOs, such as disease flare, preterm birth, intrauterine growth restriction (IUGR), preeclampsia, and pregnancy loss. Better understanding of the changes in maternal immunity and serum biomarkers, as well as their relationships with SLE-related APOs progression, would facilitate the investigation of molecular mechanisms for triggering and ameliorating APOs. Furthermore, it would enable us to explore and develop novel and effective therapeutic strategies to prevent disease activation. Therefore, this review briefly introduces the interaction between pregnancy outcomes and SLE, elucidates pathophysiological and immunological changes during SLE pregnancy. Furthermore, this review systematically expounds on the effective predictors of APOs and the molecular mechanisms underlying the SLE-related APOs to provide a solid foundation for the advanced management of lupus pregnancy.",20220725,,,10.1016/j.jaut.2022.102864,1095-9157
"mdl-34495537","Glycosylation in Autoimmune Diseases.","Zabczynska, Marta; Link-Lenczowski, Pawel; Pochec, Ewa","Adv Exp Med Biol;1325: 205-218, 2021. ","Adv Exp Med Biol","MEDLINE","article","en","2021","Doenças Autoimunes; Doença de Hashimoto; Lúpus Eritematoso Sistêmico; Glicosilação; Humanos; Imunoglobulina G","US","https://dx.doi.org/10.1007/978-3-030-70115-4_10","Autoimmune diseases are accompanied by changes in protein glycosylation, in both the immune system and target tissues. The best-studied alteration in autoimmunity is agalactosylation of immunoglobulin G (IgG), characterized primarily in rheumatoid arthritis (RA), and then detected also in systemic lupus erythematosus (SLE), inflammatory bowel disease (IBD), and multiple sclerosis (MS). The rebuilding of IgG N-glycans in RA correlates with the relapses and remissions of the disease, is associated with physiological states such as pregnancy but also depends on applied anti-inflammatory therapy. In turn, a decreased core fucosylation of the whole pool of IgG N-glycans is a serum glycomarker in autoimmune thyroid diseases (AITD) encompassing Hashimoto's thyroiditis (HT) and Grave's disease (GD). However, fucosylation of anti-thyroglobulin IgG (an immunological marker of HT) was elevated in HT serum. Core fucosylation of IgG oligosaccharides was also lowered in MS and SLE. In AITD and IBD, chronic inflammation T lymphocytes showed the reduced expression of MGAT5 gene encoding ß1,6-N-acetylglucosaminyltransferase V (GnT-V) responsible for ß1,6-branching of N-glycans, which is important for T cell receptor activation. Structural changes of glycans have a profound effect on the pro-inflammatory activity of immune cells and serum immune proteins, including IgG in autoimmunity.",20210908,1325,,10.1007/978-3-030-70115-4_10,0065-2598
"mdl-33767298","The enrichment of neutrophil extracellular traps impair the placentas of systemic lupus erythematosus through accumulating decidual NK cells.","Jiang, Meng; Shen, Nan; Zhou, Haibo; Wang, You; Lin, Sihan; Wu, Jiayue; Di, Wen","Sci Rep;11(1): 6870, 2021 03 25. ","Sci Rep","MEDLINE","article","en","2021","Armadilhas Extracelulares/imunologia; Células Matadoras Naturais/imunologia; Lúpus Eritematoso Sistêmico/imunologia; Lúpus Eritematoso Sistêmico/patologia; Neutrófilos/imunologia; Placenta/imunologia; Adulto; Animais; Estudos de Casos e Controles; Feminino; Humanos; Células Matadoras Naturais/patologia; Camundongos; Neutrófilos/patologia; Placenta/patologia; Gravidez; Prognóstico","GB","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7994714","Despite the advances made in the management of pregnancies in women with systemic lupus erythematosus (SLE), the rate of adverse pregnancy outcomes is still higher than that in the general population. In the last few years, neutrophil extracellular traps (NETs) were proven to be detrimental in both autoimmune diseases and placental injury. We investigated whether NETs could be detected in the placentas of pregnant individuals with SLE and explored the relationship between NETs and decidual natural killer cells (dNKs), which comprise the majority of immune cells at the maternal-fetal interface, using clinical samples and animal models. In this study, we found that the infiltration of NETs and dNKs, especially CD56+CD16+ NK cells, was significantly increased in pregnant individuals with SLE with placental insufficiency. In the murine models of SLE, the number of dNKs was significantly decreased due to the decreased formation of NETs affected by Ly6G. Moreover, the histopathological placental injury was reduced, with a remarkable increase in fetal birth weight. This study shows that NETs may contribute to immunological disorder in the placenta and the pathological changes in pregnancies with SLE, which provides a research basis for further explorations of the mechanism of SLE in placental impairment.",20210326,11,1,10.1038/s41598-021-86390-0,2045-2322
"mdl-31828424","[Pregnancy and rheumatic diseases]./ Schwangerschaft bei rheumatischen Erkrankungen.","Fischer-Betz, R; Späthling-Mestekemper, S","Z Rheumatol;79(1): 55-73, 2020 Feb. ","Z Rheumatol","MEDLINE","article","de","2020","Complicações na Gravidez; Doenças Reumáticas; Criança; Feminino; Humanos; Gravidez; Complicações na Gravidez/diagnóstico; Complicações na Gravidez/tratamento farmacológico; Doenças Reumáticas/complicações; Doenças Reumáticas/diagnóstico; Doenças Reumáticas/tratamento farmacológico","DE","https://dx.doi.org/10.1007/s00393-019-00736-8","Inflammatory rheumatic diseases preferentially affect women of childbearing age. Immunological alterations can have positive or negative effects on the maternal disease. Most of these women can have a successful pregnancy with careful medical and obstetric care. Nevertheless, complications are more frequent than in healthy women. Pregnancies should therefore be planned during inactive phases of the disease and patients should be educated in advance about possible maternal and child risks and about treatment options compatible with pregnancy. In pregnancy, individualized and interdisciplinary care can promote a stable course of the disease and reduce the risks for mother and child. Especially with respect to a compatible treatment, detailed information for the patients is necessary for a shared decision making.",20191213,79,1,10.1007/s00393-019-00736-8,1435-1250
"mdl-31133364","Autoimmunity in obstetrics and autoimmune diseases in pregnancy.","De Carolis, Sara; Moresi, Sascia; Rizzo, Francesca; Monteleone, Giuseppina; Tabacco, Sara; Salvi, Silvia; Garufi, Cristina; Lanzone, Antonio","Best Pract Res Clin Obstet Gynaecol;60: 66-76, 2019 Oct. ","Best Pract Res Clin Obstet Gynaecol","MEDLINE","article","en","2019","Síndrome Antifosfolipídica; Doenças Autoimunes; Lúpus Eritematoso Sistêmico; Obstetrícia; Complicações na Gravidez; Doenças Autoimunes/complicações; Autoimunidade; Feminino; Humanos; Gravidez; Complicações na Gravidez/imunologia; Resultado da Gravidez","NL","https://dx.doi.org/10.1016/j.bpobgyn.2019.03.003","Autoimmune diseases (AIDs) are associated with strong female preponderance and often present before or during the reproductive years; consequently, pregnancy and breastfeeding are topics of major interest for these patients. AIDs show different responses to pregnancy: some ameliorate, while others remain unchanged, and several AIDs aggravate. The response of the AIDs to the hormonal and immunological alterations of pregnancy reflects the different pathophysiology of each disease. Systemic lupus erythematosus (SLE) and antiphospholipid syndrome (APS) are associated with multiple autoantibodies, multiorgan involvement, more aggressive therapy, and increased impact on pregnancy outcome. For the management of pregnancy in patients with SLE and/or APS, it is important to individuate the correct risk profile for each woman and timing for treatment. The optimal timing for starting or modulating treatment is at preconception assessment to influence the placentation. In this chapter, we discuss the management of pregnancy in patients with AIDs.",20190529,60,,10.1016/j.bpobgyn.2019.03.003,1532-1932
"mdl-26090485","Pregnancy Associated with Systemic Lupus Erythematosus: Immune Tolerance in Pregnancy and Its Deficiency in Systemic Lupus Erythematosus--An Immunological Dilemma.","Gluhovschi, Cristina; Gluhovschi, Gheorghe; Petrica, Ligia; Velciov, Silvia; Gluhovschi, Adrian","J Immunol Res;2015: 241547, 2015. ","J Immunol Res","MEDLINE","article","en","2015","Tolerância Imunológica/imunologia; Lúpus Eritematoso Sistêmico/imunologia; Complicações na Gravidez/imunologia; Animais; Feminino; Humanos; Sistema Imunitário/imunologia; Gravidez; Linfócitos T Reguladores/imunologia","EG","https://dx.doi.org/10.1155/2015/241547","Pregnancy is a physiological condition that requires immune tolerance to the product of conception. Systemic lupus erythematosus (SLE) is a disease with well-represented immune mechanisms that disturb immune tolerance. The association of pregnancy with systemic lupus erythematosus creates a particular immune environment in which the immune tolerance specific of pregnancy is required to coexist with alterations of the immune system caused by SLE. The main role is played by T regulatory (Treg) cells, which attempt to regulate and adapt the immune system of the mother to the new conditions of pregnancy. Other components of the immune system also participate to maintain maternal-fetal immune tolerance. If the immune system of pregnant women with SLE is not able to maintain maternal immune tolerance to the fetus, pregnancy complications (miscarriage, fetal hypotrophy, and preterm birth) or maternal complications (preeclampsia or activation of SLE, especially in conditions of lupus nephritis) may occur. In certain situations this can be responsible for neonatal lupus. At the same time, it must be noted that during pregnancy, the immune system is able to achieve immune tolerance while maintaining the anti-infectious immune capacity of the mother. Immunological monitoring of pregnancy during SLE, as well as of the mother's disease, is required. It is important to understand immune tolerance to grafts in transplant pathology.",20150620,2015,,10.1155/2015/241547,2314-7156
"mdl-25391611","Risk factors of systemic lupus erythematosus flares during pregnancy.","Jara, Luis J; Medina, Gabriela; Cruz-Dominguez, Pilar; Navarro, Carmen; Vera-Lastra, Olga; Saavedra, Miguel A","Immunol Res;60(2-3): 184-92, 2014 Dec. ","Immunol Res","MEDLINE","article","en","2014","Lúpus Eritematoso Sistêmico/imunologia; Complicações na Gravidez/imunologia; Progressão da Doença; Feminino; Humanos; Fatores Imunológicos/imunologia; Fatores Imunológicos/metabolismo; Lúpus Eritematoso Sistêmico/diagnóstico; Lúpus Eritematoso Sistêmico/metabolismo; Neuroimunomodulação; Gravidez; Complicações na Gravidez/diagnóstico; Complicações na Gravidez/metabolismo; Fatores de Risco","US","https://dx.doi.org/10.1007/s12026-014-8577-1","This review examines the risk factors for the development of systemic lupus erythematosus (SLE) flares during pregnancy. In preconception, anti-DNA, hypocomplementemia, previous thrombosis, triple antiphospholipid (aPL) antibody positivity, active lupus nephritis and discontinuation of medications such as hydroxychloroquine and azathioprine are factors associated with pregnancy failure. During pregnancy, SLE flares are associated with aPL antibodies, synergic changes of pregnancy on Th1 and TH2 cytokines, other cytokines and chemokines that interact with hormones such as estrogen and prolactin that amplify the inflammatory effect. From the clinical point of view, SLE activity at pregnancy onset, thrombocytopenia, lupus nephritis, arterial hypertension, aPL syndromes, preeclampsia is associated with lupus flares and fetal complications. In puerperium, the risk factors of flares are similar to pregnancy. Hyperactivity of immune system, autoantibodies, hyperprolactinemia, active lupus nephritis, decrease in TH2 cytokines with increase in TH1 cytokines probably participate in SLE flare. The SLE flares during pregnancy make the difference between an uncomplicated pregnancy and pregnancy with maternal and fetal complications. Therefore, the knowledge of risk factors leads the best treatment strategies to reduce flares and fetal complications in SLE patients.",20141114,60,2-3,10.1007/s12026-014-8577-1,1559-0755
"mdl-25310743","Intravenous immunoglobulin in the therapeutic armamentarium of systemic lupus erythematosus: a systematic review and meta-analysis.","Sakthiswary, Rajalingham; D'Cruz, David","Medicine (Baltimore);93(16): e86, 2014 Oct. ","Medicine (Baltimore)","MEDLINE","article","en","2014","Imunoglobulinas Intravenosas/uso terapêutico; Fatores Imunológicos/uso terapêutico; Lúpus Eritematoso Sistêmico/tratamento farmacológico; Adulto; Humanos; Lúpus Eritematoso Sistêmico/imunologia; Modelos Estatísticos; Resultado do Tratamento","US","https://dx.doi.org/10.1097/MD.0000000000000086","Prepared from the plasma of thousands of blood donors, therapeutic intravenous immunoglobulin (IVIg) mostly consists of human polyspecific immunoglobulin G (IgG). The use of IVIg in systemic lupus erythematosus (SLE) is still considered experimental without any clear indications. The purpose of this systematic review is, therefore, to evaluate the available evidence to determine the therapeutic role of IVIg in SLE. A comprehensive, computerised search was performed in the MEDLINE (Pubmed), Scopus, EMBASE, and Cochrane controlled trials. The study eligibility criteria were randomized controlled trials, and prospective and retrospective observational studies that examined the efficacy of IVIg in adult patients with SLE who were considered the participants.IVIg therapy was the mode of intervention in these patients. Data abstracted included the study design, study population, changes in the disease activity scores (Systemic Lupus Erythematosus Disease Activity Index, Systemic Lupus Activity Measure, and Lupus Activity Index-Pregnancy), steroid dose, complement levels, autoantibodies, and renal function. Thereafter, data analysis established statistical procedures for meta-analysis. Thirteen studies (including 3 controlled and 10 observational) were eligible for inclusion. There was significant reduction in the SLE disease activity scores with IVIg therapy with a standard mean difference of 0.584 (P = 0.002, 95% confidence interval [CI] 0.221-0.947). In terms of rise in complement levels, the response rate was 30.9% (P = 0.001, 95 CI 22.1-41.3). The effects of IVIg on other clinical outcome measures including anti-double-stranded DNA, antinuclear antibody, average steroid dose, and renal function could not be determined because of the limited numbers of trials. The limitations of this review were lack of well-designed controlled trials with adequate sample size on the use of IVIg in SLE. In conclusion, the use of IVIg is associated with significant reduction in SLE disease activity and improvement in complement levels.",20141014,93,16,10.1097/MD.0000000000000086,1536-5964
"mdl-23773975","Evaluation and management of systemic lupus erythematosus and rheumatoid arthritis during pregnancy.","Barbhaiya, Medha; Bermas, Bonnie L","Clin Immunol;149(2): 225-35, 2013 Nov. ","Clin Immunol","MEDLINE","article","en","2013","Artrite Reumatoide/complicações; Lúpus Eritematoso Sistêmico/complicações; Complicações na Gravidez/terapia; Anti-Inflamatórios não Esteroides/uso terapêutico; Artrite Reumatoide/tratamento farmacológico; Produtos Biológicos/uso terapêutico; Feminino; Humanos; Imunossupressores/uso terapêutico; Lúpus Eritematoso Sistêmico/tratamento farmacológico; Gravidez","US","https://dx.doi.org/10.1016/j.clim.2013.05.006","Women of childbearing age are at risk for developing systemic rheumatic diseases. Pregnancy can be challenging to manage in patients with rheumatic diseases for a variety of reasons including the impact of physiological and immunological changes of pregnancy on underlying disease activity, the varied presentation of rheumatic disease during pregnancy, and the limited treatment options. Previously, patients with rheumatic disease were often advised against pregnancy due to concerns of increased maternal and fetal morbidity and mortality. However, recent advancements in the understanding of the interaction between pregnancy and rheumatic disease have changed how we counsel patients. Patients with rheumatic disease can have successful pregnancy outcomes, particularly when a collaborative approach between the rheumatologist and obstetrician is applied. This review aims to discuss the effect of pregnancy on patients with the most common rheumatic diseases, the effect of these diseases on the pregnancy itself, and the management of these patients during pregnancy.",20130619,149,2,10.1016/j.clim.2013.05.006,1521-7035
"mdl-23298254","Peripheral monocyte expression of the chemokine receptors CCR2, CCR5 and CXCR3 is altered at parturition in healthy women and in women with systemic lupus erythematosus.","Björkander, S; Heidari-Hamedani, G; Bremme, K; Gunnarsson, I; Holmlund, U","Scand J Immunol;77(3): 200-12, 2013 Mar. ","Scand J Immunol","MEDLINE","article","en","2013","Lúpus Eritematoso Sistêmico/imunologia; Monócitos/imunologia; Receptores CCR2/imunologia; Receptores CCR5/imunologia; Receptores CXCR3/imunologia; Adulto; Ensaios de Migração Celular; Células Cultivadas; Quimiocina CCL2/imunologia; Quimiocina CCL2/metabolismo; Quimiocina CCL5/imunologia; Quimiocina CCL5/metabolismo; Meios de Cultivo Condicionados/química; Ensaio de Imunoadsorção Enzimática; Feminino; Citometria de Fluxo; Humanos; Imuno-Histoquímica; Interleucina-10/imunologia; Interleucina-10/metabolismo; Receptores de Lipopolissacarídeos/imunologia; Receptores de Lipopolissacarídeos/metabolismo; Lipopolissacarídeos/imunologia; Lipopolissacarídeos/farmacologia; Lúpus Eritematoso Sistêmico/sangue; Lúpus Eritematoso Sistêmico/metabolismo; Monócitos/efeitos dos fármacos; Monócitos/metabolismo; Gravidez; Receptores CCR2/metabolismo; Receptores CCR5/metabolismo; Receptores CXCR3/metabolismo; Receptores de IgG/imunologia; Receptores de IgG/metabolismo; Adulto Jovem","GB","https://dx.doi.org/10.1111/sji.12021","Monocytes are precursors of macrophages and recruited to the uterus throughout pregnancy to perform important immunological functions. In this study, we hypothesized that pregnant women have reduced peripheral monocyte expression of chemokine receptors and alterations in PBMC responses to microbial stimuli as an adaption to pregnancy and that these changes are less pronounced in women with autoimmunity. We therefore investigated the chemokine receptor expression, migratory behaviour and responses to microbial stimulation of peripheral monocytes from pregnant women at parturition (n = 13) and from non-pregnant women (n = 9). In addition, we compared healthy pregnant women with women suffering from SLE (n = 5), a condition with pronounced systemic inflammation increasing the risk for pregnancy complications. We demonstrate that peripheral monocytes are affected by pregnancy with reduced percentages of CCR2+, CCR5+ and CXCR3+ monocytes of both classical (CD16-) and inflammatory (CD16+) subsets and that the trophoblast-secreted chemokine CCL2/MCP-1 recruited monocytes of both subsets in vitro. Further, PBMCs from pregnant women had a divergent response to microbial stimulation with lower CCL5/RANTES and higher CCL2/MCP-1 secretion compared with non-pregnant women. In addition, pregnant women had lower basal PBMC-secretion of CCL5/RANTES and higher basal secretion of IL-10 and CCL2/MCP-1. Interestingly, the women with SLE responded similar to pregnancy as did healthy women with lower percentages of CCR2+, CCR5+ and CXCR3+ monocytes. However, they had increased expression of CCR5 on CD16+ monocytes and heightened PBMC-secretion of CCL5/RANTES. In conclusion, our data indicate that monocyte chemokine receptor expression and the chemokine milieu during pregnancy are tightly regulated to support pregnancy.",20130110,77,3,10.1111/sji.12021,1365-3083
